ID,Local,KM,Estaca,Categoria,Disciplina,Responsável,Status,Termino_Prev,Status_Prazo,Classificacao_Escopo,Exibir_Dashboard,Pendência,Observações,Status_Executivo,Cor_Web,Tag_Web,Prioridade
PL-11,Burnier,KM 0,E41 - E43,Civil,Civil,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Suporte nas bases montante e jusante da travessia do Burnier,4 suportes,OK,#2e7d32,OK,3
PL-12,Burnier,KM 0,E45 - E49,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Substitução dos 2 niples de sacrifício e montagem da cobertura,Chegada niples 29/05,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-13,-,KM 0,E53-E54,Telecom,Telecom,CCPS/TECNEXUS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Limpeza e emenda do microduto,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-14,Rejeitoduto,KM 01,E51 - E100,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Revestimento de 75 juntas (recuperação),"Retrabalha em execução no KM 4 | Realizado 14, faltam 8 Galpão de testemunha (conclusão km 04) - TOTAL DE JUNTA: 165",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-15,Rejeitoduto,KM 02,E101 - E150,Fechamento,Mecânica,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Revestimento de 12 juntas (recuperação),"Retrabalha em execução no KM 4 | Realizado 14, faltam 8 Galpão de testemunha (conclusão km 04) - TOTAL DE JUNTA: 165",OK,#2e7d32,OK,3
PL-16,VLI,KM 03,E150 - E160,Telecom,Telecom,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Lançamento de microduto,Sem restrição,OK,#2e7d32,OK,3
PL-17,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Término da construção dos ROBs (estrutura civil de apoio) Lado Pátio 6 e Lado MRB.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-18,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Aterro lado Pátio 6.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-19,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Aterro MRB.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-20,VLI,KM 03,E160,Acabamento,Pintura,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Retoque de pintura na treliça e tubo camisa.,Sem restrição,OK,#2e7d32,OK,3
PL-21,VLI,KM 03,E160,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,"Montagem de 1 niple, jateamento, revestimento de 2 flanges e fechamento de vala.",Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-22,VLI,KM 03,E160,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Refazer canaleta da linha férrea VLI.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-23,VLI,KM 03,E160,Civil,Civil,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Desmontagem de tela e andaime da treliça de travessia.,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
